-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,pf,hf,H/B,fc,Fyl,Fyv,ALr,AH,Av,S,Sc,DS
1.772019751,1.757675655,1.74017625,1.718383918,1.690560908,1.65393738,1.603904192,1.53269297,1.429779919,1.304918529,1.222945251,1.185259489,1.164157949,1.14929772,1.137741258,1.127918099,1.119065249,1.110867374,1.103237023,1.096176558,1.089701723,0.003834671,1.000497079,2,18.62,370.44,392,0,1.22,0.25,4.7,4.7,0
2.173424456,2.155223659,2.132912558,2.104910331,2.068717823,2.020176991,1.951971369,1.850611629,1.693210281,1.482820596,1.350602419,1.30441254,1.281856994,1.265739117,1.25225113,1.240108418,1.228930903,1.218647327,1.209262667,1.200771158,1.193136273,0.005418801,1.000910478,2,18.62,352.8,392,0.1,1.92,0.25,4.8,4.8,0
2.109063851,2.093288623,2.073992787,2.049856408,2.018818778,1.977494095,1.919978785,1.83542444,1.70550861,1.532176459,1.415513334,1.368884892,1.345569914,1.327241266,1.309878314,1.292448806,1.275156516,1.258656721,1.243553046,1.230165292,1.218531532,0.006789873,1.000912479,2,18.62,352.8,328.1,0,1.92,1.22,5,5,0
2.003365443,1.987307418,1.967658376,1.943084094,1.911515489,1.869589071,1.811557721,1.727365199,1.602951291,1.458341657,1.389690613,1.358856147,1.339425465,1.324042466,1.309718814,1.295874808,1.282919946,1.271247202,1.260961114,1.251974532,1.244127739,0.005753402,1.000844536,2,18.62,352.8,360.25,0,1.92,0.56,4.4,4.4,0
2.144993587,2.12592359,2.10259345,2.073416844,2.035934058,1.986156841,1.91731305,1.81765167,1.670396814,1.48762127,1.369662772,1.326826916,1.308390401,1.296656698,1.287406882,1.279230411,1.271666147,1.264597855,1.258025733,1.251970658,1.24643906,0.005608169,1.000907075,2,18.62,347.21,328.1,0.1,2.76,1.22,6.4,6.4,0
2.285773141,2.267546661,2.245162778,2.217019697,2.180603718,2.131782281,2.063424547,1.962961878,1.812459671,1.62686647,1.504369831,1.448974269,1.418083989,1.395111211,1.375973052,1.359245842,1.344415075,1.331249409,1.31959965,1.309327973,1.300290146,0.007270076,1.001286805,2,18.62,347.21,360.25,0.1,2.76,0.56,5.5,5.5,0
2.205565563,2.186427666,2.163093617,2.134034022,2.096891848,2.047861551,1.980496376,1.883750715,1.743936852,1.588544031,1.507665025,1.477671238,1.457421461,1.436159302,1.412852248,1.38858274,1.365210622,1.344234146,1.326256712,1.311186188,1.298623724,0.005824951,1.000854137,4,18.62,347.21,392,0.1,2.76,0.25,6.3,6.3,0
2.359819146,2.340593874,2.317152389,2.287999706,2.250864035,2.202130112,2.135743767,2.041283656,1.903687792,1.729796003,1.599089519,1.535297341,1.500796234,1.475830315,1.455039868,1.436558273,1.419898274,1.405023858,1.391939665,1.380556403,1.370700219,0.010111775,1.001682056,2,18.62,347.21,308.99,0,2.76,2.58,5,5,0
2.029676313,2.009837862,1.985694089,1.955711704,1.917558325,1.867543324,1.799615972,1.70395508,1.569790653,1.426492896,1.368048889,1.346567664,1.32892909,1.313716999,1.299765076,1.286305994,1.273169933,1.260538698,1.248704826,1.237899335,1.228226269,0.004095485,1.000431867,4,18.62,370.44,328.1,0.33,1.22,1.22,8.1,8.1,0
1.993821957,1.974705124,1.951381557,1.922314367,1.885143221,1.836102047,1.769010399,1.67408619,1.542201472,1.406313366,1.351499697,1.33814105,1.324848424,1.308684544,1.291505101,1.274896639,1.259807214,1.246552623,1.235074828,1.225169547,1.216604786,0.003599406,1.000471713,4,18.62,352.8,360.25,0,1.92,0.56,4.9,4.9,0
